,Name,lat,long,Max Temp,Humidity,Cloudiness,Date,Wind Speed,Country
332,Sapulpa,36.0,-96.11,17.0,77,75,1603246692,4.1,US
333,Geraldton,-28.77,114.6,21.0,60,75,1603246692,7.7,AU
334,San Andrés,12.58,-81.7,25.0,94,40,1603246692,2.28,CO
335,Pangai,-19.8,-174.35,25.0,57,75,1603246692,6.2,TO
336,Edd,13.93,41.69,28.26,68,0,1603246692,0.58,ER
337,Arkhangelsk,64.54,40.54,-1.0,100,75,1603246693,2.0,RU
338,Paamiut,61.99,-49.67,1.81,85,98,1603246693,0.52,GL
339,Santa Ana,33.75,-117.87,22.0,68,20,1603246444,3.1,US
340,Port Hawkesbury,45.62,-61.35,14.44,93,90,1603246693,3.6,CA
341,Chase,50.82,-119.69,2.78,95,94,1603246693,1.23,CA
342,Oktyabr'skoye,43.06,44.74,9.0,93,96,1603246693,2.0,RU
343,Cape Girardeau,37.38,-89.72,13.0,93,90,1603246693,2.63,US
344,Dalbandin,28.89,64.41,9.46,38,0,1603246693,1.68,PK
345,Orchard Homes,46.86,-114.05,7.0,65,75,1603246687,1.5,US
346,Touros,-5.2,-35.46,23.0,88,40,1603246694,1.5,BR
347,Liaoyang,41.27,123.17,18.0,52,90,1603246694,8.0,CN
348,Los Llanos de Aridane,28.66,-17.92,23.0,60,75,1603246694,2.1,ES
349,Ust-Tsilma,65.44,52.15,-4.25,96,97,1603246694,1.34,RU
350,Rosetta,31.4,30.42,24.0,78,0,1603246694,1.5,EG
351,Shenjiamen,29.96,122.3,20.24,78,100,1603246694,5.82,CN
352,Falam,22.92,93.68,16.22,100,95,1603246694,0.97,MM
353,Province of Mantua,45.17,10.78,9.44,94,25,1603246695,0.86,IT
354,Pyapon,16.28,95.68,24.44,97,100,1603246695,4.9,MM
355,Omboué,-1.57,9.26,24.73,88,100,1603246695,3.06,GA
356,Chokurdakh,70.63,147.92,-12.4,96,70,1603246695,2.16,RU
357,Okhotsk,59.38,143.3,-2.34,78,97,1603246695,3.43,RU
358,Kucura,45.52,19.58,4.44,93,7,1603246695,3.6,RS
359,Nalgonda,17.05,79.27,24.72,87,100,1603246695,2.04,IN
360,Khovd,48.01,91.64,0.72,76,0,1603246695,0.92,MN
361,Laas,46.62,10.7,9.44,100,5,1603246695,2.6,IT
362,Tottori-shi,35.5,134.23,22.0,49,75,1603246695,3.1,JP
363,Barra,-11.09,-43.14,26.43,49,40,1603246695,2.28,BR
364,Safaga,26.73,33.94,25.0,44,0,1603246696,3.1,EG
365,Stříbro,49.75,13.0,5.56,100,90,1603246696,0.5,CZ
366,Camacha,33.08,-16.33,18.0,88,40,1603246696,5.7,PT
367,Boddam,57.47,-1.78,11.11,93,84,1603246696,1.0,GB
368,Iquique,-20.22,-70.14,18.0,68,90,1603246696,1.5,CL
369,Qaqortoq,60.72,-46.03,-1.0,86,100,1603246696,1.0,GL
370,Verkhnyaya Inta,65.98,60.31,-6.44,98,100,1603246696,1.4,RU
