,Name,lat,long,Max Temp,Humidity,Cloudiness,Date,Wind Speed,Country
371,Salihorsk,52.79,27.54,5.66,83,100,1603246696,4.93,BY
372,Kita,13.03,-9.49,24.26,39,0,1603246696,0.9,ML
373,Cocal,-28.62,-49.35,18.04,93,2,1603246696,0.77,BR
374,Constitución,-35.33,-72.42,10.73,78,24,1603246697,6.37,CL
375,Arrondissement de Saint-Denis,48.92,2.33,14.0,87,100,1603246697,4.1,FR
376,Atasū,48.68,71.64,4.72,50,0,1603246697,2.02,KZ
377,Taoudenni,22.68,-3.98,25.95,19,0,1603246529,4.45,ML
378,Galle,6.04,80.22,27.15,82,12,1603246697,5.83,LK
379,Prince George,53.92,-122.75,0.0,94,75,1603246502,3.1,CA
380,Pingliang,35.54,106.69,13.58,36,0,1603246697,2.17,CN
381,Atambua,-9.11,124.89,30.87,43,64,1603246697,0.91,ID
382,Calabozo,8.92,-67.43,24.38,93,100,1603246697,1.6,VE
383,Abhā,18.22,42.51,13.0,25,0,1603246698,3.1,SA
384,Mahajanga,-15.72,46.32,23.0,73,20,1603246698,1.0,MG
385,Ust'-Omchug,61.15,149.63,-8.25,84,0,1603246698,0.94,RU
386,Ibatiba,-20.23,-41.51,17.16,97,100,1603246698,1.39,BR
387,Mataram,-8.58,116.12,31.0,66,40,1603246698,5.1,ID
388,Kamenka,51.32,42.77,1.15,91,3,1603246698,4.6,RU
389,Săsciori,45.87,23.58,0.0,64,0,1603246698,1.5,RO
390,Fernley,39.61,-119.25,17.78,25,0,1603246698,0.89,US
391,Tuburan,6.64,122.27,28.0,83,75,1603246698,2.6,PH
392,Kununurra,-15.77,128.73,36.0,41,12,1603246698,3.6,AU
393,Zhangjiakou,40.81,114.88,4.74,49,0,1603246699,7.94,CN
394,Málaga,36.72,-4.42,18.33,93,40,1603246411,1.0,ES
395,Ryōtsu-minato,38.08,138.43,20.0,42,20,1603246699,5.1,JP
396,Powell,40.16,-83.08,13.33,93,90,1603246699,2.6,US
397,Bayreuth,49.95,11.58,8.33,77,100,1603246699,0.45,DE
398,Prince Rupert,54.32,-130.32,5.0,100,90,1603246699,2.6,CA
399,Jacksonville,30.33,-81.66,26.0,94,90,1603246493,3.6,US
400,Yangi Marg`ilon,40.43,71.72,11.0,36,0,1603246699,4.1,UZ
401,Sovetskiy,61.36,63.58,-1.71,98,48,1603246699,2.64,RU
402,Xam Nua,20.42,104.04,18.01,72,90,1603246699,1.35,LA
403,Port Blair,11.67,92.75,28.12,81,23,1603246700,6.85,IN
404,Pontianak,-0.03,109.33,31.8,61,93,1603246509,0.66,ID
405,Dunedin,-45.87,170.5,8.33,90,76,1603246700,2.68,NZ
406,Bilma,18.69,12.92,24.46,19,0,1603246700,1.2,NE
407,Mehamn,71.04,27.85,2.08,83,92,1603246700,0.91,NO
408,La Asuncion,11.03,-63.86,29.0,74,9,1603246700,4.6,VE
409,Regenstauf,49.12,12.13,7.0,87,20,1603246700,1.5,DE
410,Ilulissat,69.22,-51.1,1.0,95,100,1603246700,4.1,GL
411,Denpasar,-8.65,115.22,31.0,79,40,1603246633,3.6,ID
412,Lorengau,-2.02,147.27,29.17,68,94,1603246700,2.01,PG
413,Nālūt,30.33,10.85,15.82,42,0,1603246700,6.98,LY
414,Obo,5.4,26.49,19.74,97,95,1603246701,1.5,CF
415,Saint-Ambroise,48.55,-71.33,0.56,100,40,1603246701,1.5,CA
416,Ballina,-28.87,153.57,26.67,56,0,1603246701,5.7,AU
417,Katsuura,35.13,140.3,20.0,59,20,1603246701,4.6,JP
418,Manta,-0.95,-80.73,23.0,78,20,1603246626,5.7,EC
419,Tuatapere,-46.13,167.68,13.89,58,68,1603246701,4.92,NZ
420,Acapulco de Juárez,16.86,-99.89,29.0,83,75,1603246444,2.6,MX
421,Ferme-Neuve,46.7,-75.45,1.48,88,60,1603246701,0.37,CA
422,Ozinki,51.18,49.68,3.32,74,0,1603246701,4.78,RU
423,Shimanovsk,52.0,127.7,8.95,77,100,1603246702,3.92,RU
424,Chitral,35.85,71.79,13.97,33,0,1603246702,2.18,PK
425,Nautla,20.22,-96.78,25.09,81,4,1603246702,1.44,MX
426,Meridian,43.61,-116.39,14.0,54,90,1603246702,1.55,US
427,Malye Derbety,47.95,44.68,6.55,62,0,1603246702,4.75,RU
428,Umm Kaddadah,13.6,26.69,28.07,14,0,1603246702,7.21,SD
429,Hyères,43.12,6.12,17.0,82,75,1603246514,6.2,FR
430,Rongcheng,30.63,117.85,14.67,88,100,1603246702,1.02,CN
431,Yelbarga,15.63,76.02,22.23,87,99,1603246702,0.76,IN
432,Trincomalee,8.57,81.23,27.66,75,12,1603246702,8.02,LK
433,Preeceville,51.95,-102.67,-4.91,97,99,1603246703,2.83,CA
434,Oudtshoorn,-33.59,22.2,9.0,93,0,1603246703,1.5,ZA
435,Dezful,32.38,48.41,16.76,49,0,1603246703,0.57,IR
436,Zhuhai,22.28,113.57,23.0,69,67,1603246425,9.3,CN
437,Freeport,40.66,-73.58,17.0,93,90,1603246584,1.5,US
438,Mazamari,-11.33,-74.53,21.01,78,54,1603246703,0.92,PE
439,Selty,57.31,52.13,-0.79,98,60,1603246703,3.55,RU
440,Richards Bay,-28.78,32.04,19.2,78,49,1603246703,3.19,ZA
441,Aras,42.56,-2.36,20.0,52,100,1603246703,4.6,ES
442,Kayerkan,69.35,87.76,-15.0,92,36,1603246703,1.0,RU
443,Lohja,60.25,24.07,5.0,99,100,1603246704,3.13,FI
444,Oltu,40.55,42.0,10.73,73,98,1603246704,2.01,TR
445,Thaba Nchu,-29.21,26.84,13.0,58,0,1603246704,3.1,ZA
446,El Carmen de Bolívar,9.72,-75.12,23.69,93,72,1603246704,0.85,CO
447,Upington,-28.45,21.26,15.0,19,0,1603246704,4.6,ZA
448,Vestmannaeyjar,63.44,-20.27,3.33,72,100,1603246704,3.02,IS
449,San Cristobal,7.77,-72.22,25.0,88,40,1603246445,1.5,VE
450,Fortuna,40.6,-124.16,13.89,82,1,1603246704,5.1,US
451,Trairi,-3.28,-39.27,26.06,78,9,1603246704,5.67,BR
452,Shirokiy,49.76,129.52,9.02,71,100,1603246704,8.85,RU
453,Conde,-7.26,-34.91,24.0,94,75,1603246705,5.1,BR
454,Talnakh,69.49,88.4,-15.0,92,63,1603246705,1.0,RU
455,Rassvet,46.83,40.75,6.09,65,12,1603246705,2.93,RU
456,Bishop Auckland,54.66,-1.68,12.78,86,100,1603246705,2.24,GB
457,Khani,41.96,42.96,14.0,93,95,1603246705,1.0,GE
458,Cape Coast,5.11,-1.25,24.67,90,89,1603246705,4.34,GH
459,Porbandar,21.64,69.61,28.23,79,0,1603246705,2.82,IN
460,Yamada,39.47,141.95,16.25,57,0,1603246705,2.88,JP
461,Ola,59.58,151.28,-0.7,80,0,1603246705,1.93,RU
462,Whitecourt,54.15,-115.69,-4.0,92,75,1603246706,1.0,CA
463,Saryg-Sep,51.5,95.6,-0.76,92,60,1603246706,0.53,RU
464,Manono,-7.3,27.42,20.74,92,100,1603246706,0.43,CD
465,São Félix do Xingu,-6.64,-51.99,24.18,74,40,1603246706,0.49,BR
466,Nichinan,31.6,131.37,23.0,69,75,1603246706,7.7,JP
467,Endicott,42.1,-76.05,10.56,92,99,1603246706,1.02,US
468,Garoowe,8.41,48.48,24.66,76,0,1603246706,2.38,SO
469,Viloco,-16.95,-67.55,7.24,79,80,1603246706,1.67,BO
470,Cayenne,4.93,-52.33,26.0,88,100,1603246541,1.0,GF
471,Tessalit,20.2,1.01,26.79,16,0,1603246706,3.68,ML
472,Wilmington,34.23,-77.94,23.0,88,1,1603246429,3.1,US
473,Pueblo Nuevo,23.38,-105.38,15.74,97,9,1603246707,1.55,MX
474,Golden,39.76,-105.22,12.0,48,75,1603246503,2.6,US
475,Abalak,58.13,68.59,2.02,88,100,1603246707,3.56,RU
476,Santa Lucía,27.91,-15.54,23.0,73,75,1603246708,4.1,ES
477,Katherine,-14.47,132.27,35.0,41,0,1603246708,4.1,AU
478,Amboise,47.41,0.98,13.0,93,100,1603246708,3.6,FR
479,Moctezuma,29.8,-109.67,24.75,22,0,1603246708,1.89,MX
480,Port Macquarie,-31.43,152.92,25.0,47,2,1603246643,0.89,AU
481,Karpathos,35.51,27.21,20.0,72,0,1603246708,3.6,GR
482,Nuuk,64.18,-51.72,0.0,91,100,1603246708,4.6,GL
483,São João da Barra,-21.64,-41.05,22.48,86,74,1603246709,4.49,BR
484,San Quintín,30.48,-115.95,19.24,89,1,1603246709,5.39,MX
485,Pahrump,36.21,-115.98,21.67,15,0,1603246505,0.45,US
486,Merrill,45.18,-89.68,0.56,97,90,1603246709,2.1,US
487,Esim,4.87,-2.24,24.97,88,100,1603246709,3.73,GH
488,Hoi An,15.88,108.33,27.0,74,75,1603246709,4.6,VN
489,Rodolfo Sánchez Taboada,31.72,-116.57,18.89,88,46,1603246673,0.89,MX
490,Zhaotong,27.32,103.72,7.82,80,100,1603246710,0.6,CN
491,Sarangani,5.4,125.46,28.93,74,92,1603246710,4.39,PH
492,Lata,40.16,-8.33,15.56,94,17,1603246710,0.45,PT
493,Nisibis,37.08,41.22,20.35,38,0,1603246710,3.37,TR
494,Mackay,-21.15,149.2,29.0,54,40,1603246546,6.7,AU
495,Kibondo,-3.59,30.72,16.39,97,38,1603246710,0.48,TZ
496,Vila Franca do Campo,37.72,-25.43,15.0,72,40,1603246710,5.1,PT
497,San Francisco,37.77,-122.42,21.11,63,20,1603246516,4.1,US
498,Mogadishu,2.04,45.34,26.01,82,40,1603246588,4.89,SO
499,Albenga,44.05,8.22,15.56,82,40,1603246564,6.2,IT
500,Nyaunglebin,17.95,96.73,25.32,84,83,1603246711,0.72,MM
501,Tshikapa,-6.42,20.8,21.83,93,100,1603246711,1.92,CD
502,Sterling,39.01,-77.43,17.78,87,40,1603246711,1.6,US
503,Pallisa,1.15,33.71,19.07,93,99,1603246711,1.23,UG
504,St. George's,12.06,-61.75,29.0,74,20,1603246711,8.2,GD
505,Santa Vitória do Palmar,-33.52,-53.37,14.49,75,98,1603246712,5.85,BR
506,Barcelos,41.54,-8.62,15.0,100,75,1603246712,5.7,PT
507,Maracaí,-22.61,-50.67,23.4,74,5,1603246712,2.22,BR
508,Lahad Datu,5.03,118.33,28.99,68,87,1603246712,2.2,MY
509,Pangody,65.85,74.49,-3.39,98,100,1603246712,3.1,RU
510,Pueblo,38.25,-104.61,15.0,30,1,1603246712,5.1,US
511,Arrondissement d'Ajaccio,42.0,8.92,9.0,87,99,1603246712,3.1,FR
512,Owasso,36.27,-95.85,16.0,82,40,1603246542,3.6,US
513,Harper,4.38,-7.72,25.08,81,72,1603246713,2.08,LR
514,Ziro,27.63,93.83,14.22,98,3,1603246713,0.62,IN
515,Buala,-8.14,159.59,30.85,62,100,1603246713,2.14,SB
516,Ahipara,-35.17,173.17,18.26,66,100,1603246713,3.09,NZ
517,Akdepe,42.06,59.38,9.0,70,48,1603246713,3.1,TM
518,Kedrovyy,56.17,91.82,5.0,75,75,1603246714,2.0,RU
519,Thunder Bay,48.4,-89.32,1.11,95,90,1603246714,2.6,CA
520,Ambilobe,-13.2,49.05,21.93,79,91,1603246714,1.53,MG
521,Key West,24.56,-81.78,27.0,94,20,1603246512,3.1,US
522,Asău,46.43,26.4,4.0,100,0,1603246715,4.6,RO
523,Portoferraio,42.81,10.31,12.78,87,32,1603246715,7.11,IT
524,Esna,25.29,32.55,23.0,31,0,1603246715,1.14,EG
525,Korla,41.76,86.15,8.89,94,0,1603246715,3.13,CN
526,Wattegama,6.8,81.48,26.0,100,40,1603246716,3.6,LK
527,Qujing,25.48,103.78,8.08,86,100,1603246716,3.85,CN
528,Te Anau,-45.42,167.72,12.6,49,8,1603246621,2.92,NZ
529,Bandarbeyla,9.49,50.81,25.76,68,0,1603246716,3.5,SO
530,Bonavista,48.65,-53.11,12.78,80,100,1603246716,2.24,CA
531,Pampa,35.54,-100.96,19.0,72,1,1603246525,4.6,US
532,Elizabeth City,36.29,-76.25,20.0,100,1,1603246716,1.75,US
533,Sarāhan,31.52,77.8,10.64,43,0,1603246716,1.89,IN
534,Faya,18.39,42.45,13.0,25,0,1603246716,3.1,SA
535,Buin,-33.73,-70.75,19.0,42,0,1603246717,3.1,CL
536,Aklavik,68.22,-135.01,-5.0,92,90,1603246717,4.6,CA
537,Muncar,-8.43,114.33,28.83,73,10,1603246717,3.02,ID
538,Raudeberg,61.99,5.14,6.67,93,100,1603246717,5.1,NO
539,Matagami,49.75,-77.63,-3.0,100,1,1603246717,1.0,CA
540,Kesova Gora,57.58,37.29,-1.41,98,19,1603246717,4.28,RU
541,Uíge,-7.61,15.06,20.17,95,98,1603246717,0.91,AO
542,Verkhoyansk,67.54,133.38,-12.53,88,84,1603246717,1.53,RU
543,Dakar,14.69,-17.44,26.0,78,94,1603246209,2.6,SN
